N,p,M,seed,tasks,avg_steps,prob_reach_bottom,total_time_s,wall_time_s,mpirun_rc
100,0.45,200,42004,8,19.695,0,0.0907594,0.298047, 
100,0.45,200,42003,8,18.535,0,0.0932622,0.331964, 
100,0.45,200,42002,8,17.675,0,0.0916498,0.336746, 
100,0.45,200,42000,8,19.54,0,0.0990939,0.343174, 
100,0.45,200,42005,8,18.525,0,0.0816694,0.280142, 
100,0.45,200,42009,8,18.44,0,0.0851943,0.305054, 
100,0.45,200,42001,8,18.165,0,0.0864282,0.273230, 
100,0.45,200,42008,8,17.98,0,0.0804146,0.300708, 
100,0.45,200,42006,8,18.35,0,0.0943143,0.356321, 
100,0.45,200,42007,8,18.035,0,0.0903687,0.344371, 
100,0.80,200,42004,8,122.14,1,0.560287,0.798230, 
100,0.80,200,42003,8,121.93,1,0.574907,0.842323, 
100,0.80,200,42002,8,122.29,1,0.514063,0.704181, 
100,0.80,200,42000,8,122.075,1,0.564484,0.818292, 
100,0.80,200,42005,8,122.42,1,0.570488,0.807769, 
100,0.80,200,42009,8,122.09,1,0.476486,0.656832, 
100,0.80,200,42001,8,122.165,1,0.501411,0.701293, 
100,0.80,200,42008,8,122.185,1,0.559117,0.810740, 
100,0.80,200,42006,8,122.235,1,0.55865,0.790986, 
100,0.80,200,42007,8,122.2,1,0.559199,0.818632, 
100,0.40,200,42004,8,12.555,0,0.0625087,0.241660, 
100,0.40,200,42003,8,12.595,0,0.0615142,0.254954, 
100,0.40,200,42002,8,12.375,0,0.0654321,0.307010, 
100,0.40,200,42000,8,12.29,0,0.0652123,0.327887, 
100,0.40,200,42005,8,12.485,0,0.0716313,0.329085, 
100,0.40,200,42009,8,12.495,0,0.0635906,0.323112, 
100,0.40,200,42001,8,12.485,0,0.0649058,0.326039, 
100,0.40,200,42008,8,11.875,0,0.0549614,0.245092, 
100,0.40,200,42006,8,12.155,0,0.088363,0.367835, 
100,0.40,200,42007,8,12.615,0,0.145432,0.347623, 
100,0.50,200,42004,8,31.43,0,0.149416,0.403851, 
100,0.50,200,42003,8,29.645,0,0.147722,0.354669, 
100,0.50,200,42002,8,29.805,0,0.129002,0.318759, 
100,0.50,200,42000,8,33.34,0,0.159268,0.418098, 
100,0.50,200,42005,8,29.675,0,0.143161,0.381342, 
100,0.50,200,42009,8,30.25,0,0.130532,0.365357, 
100,0.50,200,42001,8,30.345,0,0.133441,0.313661, 
100,0.50,200,42008,8,28.955,0,0.127465,3.584858, 
100,0.50,200,42006,8,29.88,0,0.145468,0.384475, 
100,0.50,200,42007,8,30.23,0,0.132061,3.587579, 
100,0.58,400,42003,8,136.933,0.2425,1.12369,1.299605, 
100,0.58,100,42001,8,139.23,0.24,0.323012,0.578397, 
100,0.58,200,42004,8,130.72,0.195,0.586072,0.819982, 
100,0.58,200,42003,8,140.02,0.24,0.571307,0.746859, 
100,0.58,50,42003,8,139.56,0.22,0.137756,0.314130, 
100,0.58,50,42000,8,131.86,0.26,0.146543,0.385721, 
100,0.58,400,42000,8,133.407,0.2225,1.17742,1.413507, 
100,0.58,50,42008,8,129.22,0.22,0.146314,0.414506, 
100,0.58,50,42007,8,134.26,0.24,0.146613,0.356858, 
100,0.58,200,42002,8,141.985,0.24,0.575217,0.760404, 
100,0.58,200,42000,8,133.39,0.22,0.596685,0.861153, 
100,0.58,50,42006,8,144.28,0.24,0.144538,0.339277, 
100,0.58,400,42009,8,134.015,0.215,1.16587,1.400175, 
100,0.58,50,42002,8,138.98,0.2,0.144327,0.320081, 
100,0.58,400,42008,8,133.722,0.225,1.2328,1.479227, 
100,0.58,100,42006,8,137.44,0.23,0.27739,0.448285, 
100,0.58,400,42005,8,132.235,0.2175,1.14069,1.368385, 
100,0.58,100,42004,8,129.36,0.17,0.291373,0.522382, 
100,0.58,100,42008,8,131.44,0.22,0.295514,0.535820, 
100,0.58,100,42007,8,134.74,0.26,0.268604,0.457066, 
100,0.58,200,42005,8,128.095,0.195,0.545833,0.779850, 
100,0.58,100,42009,8,145.98,0.26,0.304746,0.529671, 
100,0.58,200,42009,8,135.67,0.23,0.586419,0.824668, 
100,0.58,400,42006,8,133.105,0.2175,1.04997,1.224893, 
100,0.58,100,42005,8,130.84,0.22,0.280552,0.516297, 
100,0.58,200,42001,8,145.895,0.265,0.671623,0.925827, 
100,0.58,200,42008,8,134.345,0.22,0.607679,0.863471, 
100,0.58,200,42006,8,133.6,0.25,0.551719,0.723291, 
100,0.58,50,42009,8,150.38,0.26,0.165351,0.392106, 
100,0.58,400,42007,8,135.678,0.24,1.11113,1.288020, 
100,0.58,400,42004,8,132.798,0.205,1.15739,1.403926, 
100,0.58,100,42003,8,141.9,0.23,0.290759,0.466690, 
100,0.58,400,42002,8,138.57,0.2625,1.12778,1.305326, 
100,0.58,50,42005,8,141.54,0.24,0.149383,0.391180, 
100,0.58,50,42001,8,137.32,0.22,0.157536,0.419241, 
100,0.58,400,42001,8,137.765,0.2375,1.22583,1.488592, 
100,0.58,100,42002,8,138.78,0.22,0.280538,0.450089, 
100,0.58,100,42000,8,129.48,0.24,0.281449,0.560876, 
100,0.58,200,42007,8,138.28,0.255,0.563787,0.736785, 
100,0.58,50,42004,8,126.2,0.08,0.144765,0.375623, 
100,0.75,200,42004,8,131.325,1,0.60413,0.862469, 
100,0.75,200,42003,8,130.795,1,0.538185,0.725986, 
100,0.75,200,42002,8,131.365,1,0.538366,0.715572, 
100,0.75,200,42000,8,131.415,1,0.59145,0.836331, 
100,0.75,200,42005,8,131.265,1,0.598657,0.843680, 
100,0.75,200,42009,8,131.2,1,0.59704,0.838251, 
100,0.75,200,42001,8,131.085,1,0.604863,0.864117, 
100,0.75,200,42008,8,130.83,1,0.596738,0.837584, 
100,0.75,200,42006,8,130.82,1,0.528288,0.702371, 
100,0.75,200,42007,8,131.26,1,0.547339,0.721241, 
100,0.60,400,42003,8,193.512,0.6675,1.64422,1.888529, 
100,0.60,100,42001,8,190.02,0.68,0.386151,0.570978, 
100,0.60,200,42004,8,200.175,0.72,0.82802,1.070643, 
100,0.60,200,42003,8,199.565,0.695,0.853308,1.085678, 
100,0.60,50,42003,8,207.56,0.68,0.225016,0.482687, 
100,0.60,50,42000,8,178.6,0.58,0.186128,0.379624, 
100,0.60,400,42000,8,189.433,0.645,1.52474,1.693607, 
100,0.60,50,42008,8,213.38,0.78,0.239182,0.520374, 
100,0.60,50,42007,8,199.66,0.68,0.22822,0.497051, 
100,0.60,200,42002,8,190.76,0.635,0.82881,1.074655, 
100,0.60,200,42000,8,190.29,0.635,0.765052,0.933331, 
100,0.60,50,42006,8,193.94,0.68,0.195926,0.365520, 
100,0.60,400,42009,8,195.1,0.7125,1.72586,1.984821, 
100,0.60,50,42002,8,178.92,0.6,0.198955,0.443050, 
100,0.60,400,42008,8,197.333,0.71,1.71235,1.970214, 
100,0.60,100,42006,8,190.85,0.63,0.380649,0.566113, 
100,0.60,400,42005,8,186.863,0.6525,1.5244,1.703355, 
100,0.60,100,42004,8,200.87,0.7,0.442152,0.681216, 
100,0.60,100,42008,8,203.85,0.75,0.451219,0.694567, 
100,0.60,100,42007,8,197.68,0.67,0.43819,0.691768, 
100,0.60,200,42005,8,179.35,0.595,0.720112,0.889236, 
100,0.60,100,42009,8,202.54,0.8,0.446946,0.689724, 
100,0.60,200,42009,8,193.455,0.72,0.838265,1.078151, 
100,0.60,400,42006,8,191.205,0.655,1.47745,1.649160, 
100,0.60,100,42005,8,178.8,0.61,0.365289,0.546494, 
100,0.60,200,42001,8,192.005,0.72,0.782151,0.956509, 
100,0.60,200,42008,8,200.38,0.765,0.875012,1.117011, 
100,0.60,200,42006,8,192.065,0.66,0.759359,0.928501, 
100,0.60,50,42009,8,212.46,0.88,0.258755,0.512055, 
100,0.60,400,42007,8,189.167,0.6375,1.7729,2.087963, 
100,0.60,400,42004,8,197.877,0.695,1.6896,1.914951, 
100,0.60,100,42003,8,197.33,0.67,0.437328,0.666783, 
100,0.60,400,42002,8,189.852,0.68,1.69515,2.959547, 
100,0.60,50,42005,8,176.64,0.56,0.182344,0.358080, 
100,0.60,50,42001,8,186.86,0.62,0.179845,0.354848, 
100,0.60,400,42001,8,188.732,0.675,1.53602,1.710702, 
100,0.60,100,42002,8,188.88,0.64,0.425969,0.684709, 
100,0.60,100,42000,8,184.33,0.61,0.380215,0.557848, 
100,0.60,200,42007,8,190.42,0.65,0.86324,1.108482, 
100,0.60,50,42004,8,206.06,0.72,0.229135,0.523760, 
100,0.65,200,42004,8,174.155,1,0.703464,1.005907, 
100,0.65,200,42003,8,170.765,0.995,0.682913,0.861837, 
100,0.65,200,42002,8,173.79,1,0.717585,0.894287, 
100,0.65,200,42000,8,174.34,1,0.697949,0.876441, 
